Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Mats Zuccarello,MIN,L,R,65,15,22,-9,18,12,30,3,7,0,0,0,2,96,15:56,64.3
Charlie Coyle,BOS,R,C,70,16,21,9,21,13,30,1,5,2,2,0,3,145,16:47,46.6
Zach Hyman,TOR,R,L,51,21,16,13,23,17,30,3,6,1,1,0,1,106,19:06,43.8
Chris Tierney,OTT,L,C,71,11,26,-6,20,6,30,1,2,4,5,1,2,102,17:11,51.2
Shea Weber,MTL,R,D,65,15,21,8,33,12,28,3,8,0,0,0,2,185,24:00:00,--
Nazem Kadri,COL,L,C,51,19,17,7,97,15,25,4,11,0,0,0,1,133,17:26,56.8
Ryan Johansen,NSH,R,C,68,14,22,-5,45,10,26,3,9,1,1,0,2,101,17:03,53.2
Tomas Hertl,SJS,L,C,48,16,20,-18,16,12,27,2,7,2,2,0,1,117,18:27,54.8
Jaccob Slavin,CAR,L,D,68,6,30,30,10,6,32,0,3,0,1,1,3,145,23:24,--
Oliver Bjorkstrand,CBJ,R,R,49,21,15,8,12,18,30,3,6,0,0,0,5,162,17:56,31.6
Jake Virtanen,VAN,R,R,69,18,18,-4,41,12,27,6,9,0,0,0,6,150,13:05,27.8
Kasperi Kapanen,TOR,R,R,69,13,23,0,22,11,31,0,3,2,2,1,2,121,15:47,13.3
Ivan Provorov,PHI,L,D,69,13,23,11,24,6,19,7,16,0,1,1,3,150,24:51:00,--
Nico Hischier,NJD,L,C,58,14,22,-16,12,11,24,2,10,1,2,0,1,123,18:04,51.7
Martin Necas,CAR,R,C,64,16,20,-6,20,11,27,5,9,0,0,0,3,88,14:10,27.1
Dustin Brown,LAK,R,R,66,17,18,-1,22,16,30,1,5,0,0,0,1,169,18:24,43.8
Carl Soderberg,ARI,L,C,70,17,18,6,18,11,24,6,11,0,0,0,1,135,15:54,45.3
Nick Bonino,NSH,L,C,67,18,17,17,16,17,34,1,1,0,0,0,3,104,16:31,52.6
Drew Doughty,LAK,R,D,67,7,28,-16,36,2,20,5,14,0,1,2,2,141,25:49:00,--
Ryan Pulock,NYI,R,D,68,10,25,8,14,7,27,3,8,0,0,1,3,163,22:24,--
Jared McCann,PIT,L,L,66,14,21,6,17,12,29,2,6,0,0,1,4,150,15:14,46.4
Jake DeBrusk,BOS,L,L,65,19,16,-1,14,12,25,7,10,0,0,0,5,161,16:03,34.6
Miro Heiskanen,DAL,L,D,68,8,27,14,12,8,28,0,7,0,0,0,0,163,23:46,--
Alexander Radulov,DAL,L,R,60,15,19,8,46,8,24,7,10,0,0,0,3,132,16:45,28.6
Kevin Shattenkirk,TBL,R,D,70,8,26,22,38,7,27,1,7,0,0,0,0,131,18:54,--
Zack Kassian,EDM,R,R,59,15,19,0,69,15,34,0,0,0,0,0,1,99,15:40,33.3
Calle Jarnkrok,NSH,R,C,64,15,19,4,14,11,23,2,9,2,2,0,1,136,15:56,47.1
Oscar Klefbom,EDM,L,D,62,5,29,-17,24,3,16,2,18,0,0,0,0,159,25:25:00,--
Frank Vatrano,FLA,L,C,69,16,18,-8,30,12,30,2,2,2,2,0,4,162,15:01,30
Samuel Girard,COL,L,D,70,4,30,1,17,3,21,1,13,0,0,0,1,96,21:19,--
Mikhail Sergachev,TBL,L,D,70,10,24,15,58,4,20,5,13,1,1,0,0,118,20:22,--
Alexander Edler,VAN,L,D,59,5,28,13,62,4,26,1,7,0,0,0,1,118,22:37,--
Matt Niskanen,PHI,R,D,68,8,25,15,29,3,19,4,13,1,1,0,0,126,21:54,--
Mattias Ekholm,NSH,L,D,68,8,25,-1,32,7,26,0,5,1,2,0,2,154,23:22,--
Brett Connolly,FLA,R,R,69,19,14,-3,26,15,27,4,6,0,0,0,3,117,14:30,35.3
Joonas Donskoi,COL,R,R,65,16,17,2,26,12,28,4,5,0,0,0,2,111,16:15,42.9
Brandon Saad,CHI,L,L,58,21,12,2,16,18,30,1,1,2,2,0,5,140,16:45,39.7
Darnell Nurse,EDM,L,D,71,5,28,-2,48,5,28,0,5,0,0,0,1,170,23:27,--
Rasmus Ristolainen,BUF,R,D,69,6,27,-2,46,4,23,2,9,0,1,0,0,128,22:48,--
Kevin Labanc,SJS,R,R,70,14,19,-33,38,11,24,3,9,0,0,0,3,176,16:04,16.7
Roope Hintz,DAL,L,L,60,19,14,3,16,14,17,3,14,2,2,1,5,120,14:45,49.9
Adam Gaudette,VAN,R,C,59,12,21,-7,37,8,21,4,12,0,0,0,1,75,12:23,41.2
Alex Goligoski,ARI,L,D,70,4,28,8,24,2,21,2,11,0,0,0,0,101,23:03,--
Patric Hornqvist,PIT,R,R,52,17,15,9,36,14,25,3,7,0,0,0,2,168,15:56,33.3
Derick Brassard,NYI,L,C,66,10,22,-2,16,7,22,3,10,0,0,0,1,110,13:42,55.2
Jared Spurgeon,MIN,R,D,62,12,20,-1,18,9,19,3,13,0,0,0,2,112,22:34,0
John Klingberg,DAL,R,D,58,6,26,-10,22,4,15,2,17,0,0,0,0,120,22:10,--
Blake Coleman,NJD,L,C,66,21,11,0,56,17,25,1,3,3,4,0,2,200,16:43,31.5
Robby Fabbri,STL,L,C,61,15,17,-33,20,9,23,6,9,0,0,0,3,111,16:09,40.3
Adrian Kempe,LAK,L,C,69,11,21,-10,29,7,18,2,10,2,4,1,2,148,16:01,41.3
Andrew Mangiapane,CGY,L,L,68,17,15,4,18,17,31,0,1,0,0,0,2,109,13:42,27.9
Pavel Zacha,NJD,L,C,65,8,24,-12,14,3,20,3,8,2,4,0,1,97,16:16,43.3
Charlie McAvoy,BOS,R,D,67,5,27,24,41,4,29,1,2,0,1,1,1,101,23:10,--
Jesper Bratt,NJD,L,L,60,16,16,-6,6,15,26,1,6,0,0,0,2,101,13:59,23.1
Joe Thornton,SJS,L,C,70,7,24,-19,34,4,23,3,8,0,0,0,1,76,15:30,49.4
Joe Pavelski,DAL,R,C,67,14,17,6,29,8,19,6,11,0,1,2,3,125,16:56,53.8
Mark Giordano,CGY,L,D,60,5,26,2,34,3,18,2,11,0,2,0,0,157,23:53,--
James Neal,EDM,L,L,55,19,12,-20,12,7,14,12,17,0,0,0,2,112,16:18,35.5
Nick Foligno,CBJ,L,L,67,10,21,-3,62,8,26,2,4,0,1,0,1,131,18:40,49.8
Kyle Turris,NSH,R,C,62,9,22,-9,22,7,21,2,10,0,0,0,4,88,15:25,47.5
Tyler Johnson,TBL,R,C,65,14,17,9,16,13,24,1,7,0,0,1,2,113,14:33,49
Craig Smith,NSH,R,C,69,18,13,18,34,14,24,4,7,0,0,0,2,184,13:25,48.3
Rocco Grimaldi,NSH,R,R,66,10,21,10,10,10,31,0,0,0,0,0,1,122,12:39,16.7
Vladislav Namestnikov,NYR,L,C,65,17,14,-5,45,11,21,2,4,4,6,0,2,98,15:03,46.8
Damon Severson,NJD,R,D,69,8,23,-20,52,5,21,3,10,0,0,0,2,114,22:58,--
Nate Schmidt,VGK,L,D,59,7,24,11,12,6,24,1,7,0,0,0,0,112,21:41,--
J.T. Compher,COL,R,L,67,11,20,9,18,10,23,1,5,0,3,1,3,106,16:45,47.7
Josh Morrissey,WPG,L,D,65,5,26,1,24,4,19,1,12,0,0,0,0,120,22:46,--
Luke Kunin,MIN,R,C,63,15,16,-10,55,14,28,0,2,1,1,0,1,128,15:28,44.5
Filip Hronek,DET,R,D,65,9,22,-38,46,8,21,1,10,0,0,0,0,125,23:54,--
Dominik Kahun,PIT,L,C,56,12,19,8,8,11,29,1,2,0,0,0,2,87,13:17,48.3
Marcus Johansson,BUF,L,L,60,9,21,-12,20,8,24,1,6,0,0,1,1,87,17:09,40
Oliver Ekman-Larsson,ARI,L,D,66,9,21,-3,38,6,22,2,7,1,1,0,1,135,23:01,--
Mikael Granlund,NSH,L,C,63,17,13,-4,28,12,23,4,6,1,1,2,4,130,17:48,48.7
Joel Armia,MTL,R,R,58,16,14,2,28,10,22,3,4,3,4,0,2,155,17:14,36.4
